batsman,batsman_runs
A Ashish Reddy,16
A Badoni,73
A Chopra,7
A Choudhary,1
A Flintoff,5
A Kamboj,2
A Kumble,3
A Manohar,23
A Mhatre,31
A Mishra,31
A Mithun,4
A Mukund,1
A Nehra,3
A Nortje,6
A Raghuvanshi,46
A Symonds,74
A Tomar,1
A Zampa,1
AA Bilakhia,5
AA Chavan,2
AA Jhunjhunwala,19
AA Kulkarni,2
AA Noffke,1
AB Agarkar,13
AB Barath,5
AB Dinda,2
AB McDonald,9
AB de Villiers,414
AC Blizzard,21
AC Gilchrist,239
AC Thomas,1
AC Voges,15
AD Hales,13
AD Mascarenhas,5
AD Mathews,44
AD Nath,7
AD Russell,187
AG Murtaza,1
AG Paunikar,9
AJ Finch,214
AJ Hosein,1
AJ Tye,6
AK Markram,111
AL Menaria,24
AM Nayar,55
AM Rahane,515
AN Ahmed,4
AN Ghosh,1
AP Dole,3
AP Majumdar,7
AP Tare,40
AR Bawne,1
AR Patel,130
AS Joseph,3
AS Rajpoot,2
AS Raut,13
AS Roy,3
AS Yadav,5
AT Rayudu,359
AU Rashid,2
AUK Pathan,5
Abdul Samad,45
Abhishek Sharma,174
Abishek Porel,65
Akash Deep,2
Aman Hakim Khan,8
Aniket Verma,12
Anirudh Singh,6
Ankit Sharma,7
Anmolpreet Singh,19
Anuj Rawat,26
Anureet Singh,2
Arshad Khan,5
Arshad Khan (2),1
Arshdeep Singh,4
Ashutosh Sharma,24
Atharva Taide,30
Avesh Khan,6
Azhar Mahmood,39
Azmatullah Omarzai,8
B Akhil,5
B Chipli,28
B Indrajith,2
B Kumar,31
B Lee,8
B Sai Sudharsan,183
B Stanlake,1
B Sumanth,3
BA Stokes,81
BB McCullum,293
BB Samantray,13
BCJ Cutting,15
BJ Haddin,2
BJ Hodge,122
BJ Rohrer,21
BKG Mendis,1
BR Dunk,7
Basil Thampi,1
Bipul Sharma,11
C Bosch,3
C Green,62
C Madan,3
C Munro,19
C Sakariya,3
C de Grandhomme,18
CA Ingram,22
CA Lynn,132
CA Pujara,50
CH Gayle,408
CH Morris,41
CJ Anderson,40
CJ Ferguson,9
CJ Jordan,3
CL White,76
CM Gautam,17
CR Brathwaite,10
CR Woakes,7
CV Varun,2
D Brevis,30
D Padikkal,192
D Pretorius,3
D Salunkhe,5
D Wiese,12
DA Miller,220
DA Warner,663
DAJ Bracewell,1
DB Das,23
DB Ravi Teja,35
DE Bollinger,1
DH Yagnik,23
DJ Bravo,120
DJ Harris,11
DJ Hooda,98
DJ Hussey,90
DJ Jacobs,10
DJ Malan,1
DJ Mitchell,28
DJ Thornely,2
DJ Willey,7
DJG Sammy,15
DJM Short,11
DL Chahar,5
DL Vettori,11
DM Bravo,1
DNT Zoysa,1
DP Conway,117
DPMD Jayawardene,200
DR Martyn,1
DR Sams,1
DR Smith,245
DS Kulkarni,7
DS Lehmann,3
DT Christian,23
DT Patil,1
DW Steyn,14
Dhruv Jurel,51
E Lewis,62
EJG Morgan,112
ER Dwivedi,2
F Behardien,2
F du Plessis,440
FA Allen,1
FY Fazal,22
G Coetzee,2
G Gambhir,492
GB Hogg,1
GC Smith,94
GD McGrath,1
GD Phillips,3
GH Vihari,23
GJ Bailey,59
GJ Maxwell,238
GR Napier,1
Gulbadin Naib,1
Gurkeerat Singh,55
H Klaasen,98
HC Brook,23
HE van der Dussen,2
HH Gibbs,83
HH Pandya,207
HM Amla,60
HR Shokeen,9
HV Patel,16
Harbhajan Singh,79
Harmeet Singh,3
Harpreet Brar,19
Harpreet Singh,10
Harshit Rana,5
I Malhotra,1
I Sharma,4
I Udana,1
IK Pathan,88
IR Jaggi,6
Imran Tahir,5
Iqbal Abdulla,9
Ishan Kishan,288
J Arunkumar,5
J Botha,39
J Fraser-McGurk,39
J Overton,1
J Suchith,6
J Syed Mohammad,4
J Theron,1
J Yadav,2
JA Morkel,61
JA Richardson,2
JC Archer,14
JC Buttler,408
JD Ryder,69
JD Unadkat,16
JDP Oram,6
JDS Neesham,6
JE Root,1
JEC Franklin,25
JG Bethell,9
JH Kallis,255
JJ Bumrah,5
JJ Roy,75
JJ van der Wath,1
JL Pattinson,2
JM Bairstow,173
JM Kemp,1
JM Sharma,77
JO Holder,13
JP Duminy,126
JP Faulkner,36
JP Inglis,26
JR Hazlewood,1
JR Hopes,49
JR Philippe,9
Joginder Sharma,1
K Goel,17
K Gowtham,15
K Kartikeya,1
K Rabada,16
KA Jamieson,5
KA Pollard,221
KAJ Roach,1
KB Arun Karthik,4
KC Sangakkara,195
KD Karthik,466
KH Pandya,153
KK Cooper,9
KK Nair,185
KL Nagarkoti,1
KL Rahul,453
KM Jadhav,102
KMA Paul,1
KMDN Kulasekara,1
KP Pietersen,91
KR Mayers,38
KS Bharat,12
KS Sharma,1
KS Williamson,187
KT Maphaka,2
KV Sharma,20
KW Richardson,2
Kamran Akmal,13
Karanveer Singh,1
Kartik Tyagi,1
Kuldeep Yadav,18
L Balaji,2
L Ronchi,6
LA Carseldine,11
LA Pomersbach,25
LH Ferguson,7
LJ Wright,16
LMP Simmons,109
LPC Silva,5
LR Shukla,33
LRPL Taylor,66
LS Livingstone,70
Lalit Yadav,27
Liton Das,1
M Ashwin,2
M Jansen,8
M Kaif,22
M Kartik,7
M Klinger,9
M Manhas,43
M Markande,5
M Morkel,11
M Muralitharan,1
M Ntini,2
M Rawat,4
M Shahrukh Khan,46
M Vijay,247
M Vohra,104
MA Agarwal,275
MA Khote,2
MA Starc,11
MA Wood,1
MC Henriques,87
MC Juneja,11
MD Mishra,24
MD Shanaka,2
MDKJ Perera,3
MEK Hussey,198
MF Maharoof,12
MG Bracewell,6
MG Johnson,10
MJ Clarke,12
MJ Guptill,24
MJ Lumb,45
MJ McClenaghan,5
MJ Santner,6
MK Lomror,33
MK Pandey,340
MK Tiwary,156
ML Hayden,121
MM Ali,95
MM Patel,5
MM Sharma,9
MN Samuels,9
MN van Wyk,19
MP Breetzke,1
MP Stoinis,158
MR Marsh,104
MS Bisla,93
MS Dhoni,375
MS Gony,6
MS Wade,23
MV Boucher,32
MW Short,15
Mandeep Singh,176
Misbah-ul-Haq,10
Mohammad Hafeez,7
Mohammad Nabi,18
Mohammed Shami,7
Mohammed Siraj,10
Mohsin Khan,2
Mujeeb Ur Rahman,2
Mukesh Choudhary,1
N Jagadeesan,21
N Pooran,158
N Rana,261
N Saini,16
N Wadhera,60
NA Saini,3
NJ Maddinson,4
NLTC Perera,23
NM Coulter-Nile,7
NS Naik,2
NV Ojha,121
Naman Dhir,37
Naveen-ul-Haq,2
Niraj Patel,14
Nithish Kumar Reddy,31
Noor Ahmad,2
OA Shah,34
OF Smith,1
P Chopra,2
P Dogra,4
P Dubey,2
P Kumar,22
P Negi,27
P Ray Barman,2
P Sahu,1
P Simran Singh,141
PA Patel,365
PA Reddy,15
PBB Rajapaksa,22
PC Valthaty,61
PD Collingwood,9
PD Salt,122
PHKD Mendis,7
PJ Cummins,39
PJ Sangwan,1
PK Garg,16
PN Mankad,13
PP Chawla,56
PP Shaw,238
PR Shah,9
PV Tambe,1
PVD Chameera,3
PWA Mulder,1
PWH de Silva,7
Parvez Rasool,1
Priyansh Arya,60
Q de Kock,325
R Ashwin,64
R Bhatia,24
R Bishnoi,1
R Dhawan,18
R Dravid,269
R McLaren,14
R Parag,112
R Powell,22
R Rampaul,3
R Ravindra,40
R Sathish,22
R Sharma,5
R Shepherd,12
R Shukla,2
R Tewatia,90
R Vinay Kumar,21
RA Bawa,1
RA Jadeja,240
RA Tripathi,229
RD Chahar,13
RD Gaikwad,231
RD Rickelton,47
RE Levi,10
RE van der Merwe,11
RG Sharma,640
RJ Harris,6
RJ Peterson,3
RJ Quiney,12
RK Singh,87
RM Patidar,76
RN ten Doeschate,26
RP Singh,2
RR Pant,321
RR Powar,6
RR Raje,1
RR Rossouw,45
RR Sarwan,6
RS Bopara,39
RS Sodhi,1
RT Ponting,5
RV Gomez,5
RV Patel,6
RV Uthappa,481
Rahmanullah Gurbaz,34
Ramandeep Singh,9
Rashid Khan,41
Rasikh Salam,5
Ravi Bishnoi,2
S Anirudha,9
S Aravind,7
S Badrinath,154
S Chanderpaul,4
S Dhawan,768
S Dube,108
S Gopal,19
S Kaul,1
S Nadeem,2
S Narwal,6
S Rana,9
S Sohal,34
S Sreesanth,6
S Sriram,3
S Vidyut,21
SA Abbott,1
SA Asnodkar,56
SA Yadav,454
SB Bangar,1
SB Dubey,9
SB Jakati,3
SB Styris,10
SC Ganguly,137
SD Chitnis,10
SD Hope,12
SD Lad,1
SE Marsh,269
SE Rutherford,25
SH Johnson,1
SK Raina,506
SK Rasheed,9
SK Trivedi,3
SK Warne,14
SL Malinga,6
SM Curran,85
SM Katich,26
SM Pollock,12
SN Khan,63
SN Thakur,30
SO Hetmyer,94
SP Fleming,27
SP Goswami,32
SP Jackson,5
SP Narine,189
SPD Smith,226
SR Tendulkar,296
SR Watson,377
SS Iyer,315
SS Prabhudessai,11
SS Shaikh,1
SS Tiwary,111
ST Jayasuriya,84
STR Binny,66
SV Samson,379
SW Billings,40
SW Tait,1
Sachin Baby,11
Salman Butt,30
Sameer Rizvi,15
Sandeep Sharma,4
Sanvir Singh,2
Saurav Chauhan,1
