batsman,batsman_runs
A Ashish Reddy,15
A Badoni,38
A Choudhary,1
A Flintoff,2
A Manohar,14
A Mhatre,11
A Mishra,5
A Mithun,1
A Nehra,1
A Raghuvanshi,16
A Symonds,41
AA Jhunjhunwala,5
AB Agarkar,5
AB Barath,1
AB McDonald,4
AB de Villiers,253
AC Blizzard,2
AC Gilchrist,92
AC Thomas,1
AC Voges,3
AD Hales,6
AD Mascarenhas,1
AD Mathews,29
AD Nath,2
AD Russell,223
AF Milne,1
AJ Finch,78
AJ Hosein,1
AJ Turner,2
AJ Tye,5
AK Markram,57
AL Menaria,18
AM Nayar,20
AM Rahane,123
AN Ahmed,1
AP Dole,1
AP Majumdar,2
AP Tare,11
AR Patel,94
AS Rajpoot,1
AS Raut,7
AS Yadav,2
AT Carey,1
AT Rayudu,173
AU Rashid,1
AUK Pathan,2
Abdul Samad,50
Abhishek Sharma,101
Abishek Porel,27
Akash Deep,2
Aman Hakim Khan,6
Aniket Verma,20
Anirudh Singh,1
Ankit Sharma,4
Ankit Soni,1
Anmolpreet Singh,3
Anuj Rawat,14
Anureet Singh,1
Arjun Tendulkar,1
Arshad Khan,9
Ashutosh Sharma,28
Atharva Taide,8
Avesh Khan,4
Azhar Mahmood,13
Azmatullah Omarzai,5
B Akhil,5
B Chipli,7
B Kumar,3
B Lee,8
B Sai Sudharsan,53
BA Bhatt,1
BA Stokes,32
BB McCullum,130
BB Samantray,2
BCJ Cutting,19
BJ Haddin,1
BJ Hodge,43
BJ Rohrer,5
BKG Mendis,2
Basil Thampi,1
Bipul Sharma,9
C Bosch,3
C Green,32
C Munro,8
C de Grandhomme,18
CA Ingram,5
CA Lynn,66
CA Pujara,4
CH Gayle,359
CH Morris,35
CJ Anderson,31
CJ Jordan,3
CK Langeveldt,1
CL White,38
CM Gautam,6
CR Brathwaite,16
CR Woakes,2
D Brevis,33
D Padikkal,56
D Pretorius,3
D Wiese,7
DA Miller,138
DA Warner,236
DB Das,16
DB Ravi Teja,9
DE Bollinger,1
DG Nalkande,1
DH Yagnik,2
DJ Bravo,66
DJ Harris,5
DJ Hooda,62
DJ Hussey,60
DJ Jacobs,4
DJ Malan,1
DJ Mitchell,10
DJ Thornely,2
DJG Sammy,18
DJM Short,5
DL Chahar,8
DL Vettori,2
DP Conway,34
DPMD Jayawardene,40
DR Sams,3
DR Shorey,1
DR Smith,117
DS Kulkarni,2
DT Christian,19
DW Steyn,3
Dhruv Jurel,38
E Lewis,36
EJG Morgan,64
ER Dwivedi,2
F du Plessis,174
FY Fazal,1
G Coetzee,2
G Gambhir,59
GC Smith,9
GD Phillips,6
GH Vihari,1
GJ Bailey,19
